Date,weighted_score_mean,weighted_score_std,weighted_score_min,weighted_score_max,weighted_score_sum,composite_score_mean,composite_score_std,confidence_mean,confidence_min,importance_sum,bullish_signal_sum,bearish_signal_sum,finbert_score_mean,vader_score_mean,keyword_score_mean,Headlines_count,net_sentiment,sentiment_intensity,news_volume,sentiment_range
2024-02-27,0.3652,0.0694,0.3162,0.4143,0.7305,0.3652,0.0694,0.739,0.6159,2.0,2,0,0.2601,0.426,0.5,2,2,0.3652,2,0.09810000000000002
2024-02-28,0.2856,0.0878,0.2235,0.3477,0.5713,0.2856,0.0878,0.8942,0.8704,2.0,2,0,0.4367,-0.4136,0.5,2,2,0.2856,2,0.1242
2024-02-29,0.1377,0.1948,-0.0936,0.3513,0.6884,0.1377,0.1948,0.8385,0.4772,5.0,2,0,-0.1124,0.036,0.6222,5,2,0.1377,5,0.4449
2024-03-01,-0.1328,0.1348,-0.2281,-0.0375,-0.2656,-0.1328,0.1348,0.8078,0.7021,2.0,0,1,-0.6541,0.2212,0.5,2,-1,0.1328,2,0.1906
2024-03-04,0.1652,0.3063,-0.1476,0.5231,0.661,0.1652,0.3063,0.8262,0.7345,4.0,2,0,0.174,0.3912,0.0,4,2,0.1652,4,0.6707000000000001
2024-03-05,-0.0618,0.2849,-0.2633,0.1396,-0.1237,-0.0618,0.2849,0.9339,0.9037,2.0,0,1,-0.4154,-0.0207,0.5,2,-1,0.0618,2,0.4029
2024-03-06,0.1967,0.0899,0.1332,0.2603,0.3935,0.1967,0.0899,0.8445,0.7895,2.0,1,0,-0.0733,-0.3332,1.0,2,1,0.1967,2,0.12709999999999996
2024-03-07,-0.2455,0.244,-0.4737,0.0117,-0.7366,-0.2455,0.244,0.8654,0.8244,3.0,0,2,-0.5015,0.0259,0.0,3,-2,0.2455,3,0.4854
2024-03-08,-0.0359,0.4548,-0.3737,0.4812,-0.1078,-0.0359,0.4548,0.7313,0.5211,3.0,1,2,-0.1977,0.3146,0.0,3,-1,0.0359,3,0.8549
2024-03-11,0.3087,0.3699,-0.1133,0.5764,0.926,0.3087,0.3699,0.79,0.519,3.0,2,0,0.4524,-0.0875,0.3333,3,2,0.3087,3,0.6897
2024-03-12,0.0411,0.3237,-0.2357,0.4977,0.1644,0.0411,0.3237,0.8584,0.7153,4.0,1,1,-0.2967,0.1972,0.5,4,0,0.0411,4,0.7333999999999999
2024-03-13,0.0365,0.0066,0.0319,0.0411,0.073,0.0365,0.0066,0.8056,0.6455,2.0,0,0,-0.1531,-0.1848,0.5,2,0,0.0365,2,0.0092
